TMA,TERAPIA MANUAL
NHP,NEUROPATOLOGIA HUMANA
COEL,COMERCIO ELECTRONICO
DAMA,DES DE APLICACIONES MOVILES AVANZADAS
DEE,DESARROLLO EMPRENDEDOR
FUQ,FUNDAMENTOS DE QUIMICA
MER,MERCADOTECNIA
MIND,MINERIA DE DATOS
REA,REALIDAD AUMENTADA
REV,REALIDAD VIRTUAL
VIA,VISION ARTIFICIAL
TOP,TERAPIA FISICA EN OBSTETRICIA Y PISO PELVICO
TAM,TERAPIA FISICA EN EL ADULTO MAYOR
TFT,TERAPIA FISICA EN TRAUMATOLOG?A
DFT,DIAGNOSTICO DIFERENCIAL EN TERAPIA FISICA
TDV,TERAPIA FISICA EN EL DEBIL VISUAL
TNP,TERAPIA FISICA NEUROLOGICA EN PEDIATRIA
OYP,ORTESIS Y PROTESIS
PTF,PSICOLOGIA EN TERAPIA FISICA
TFO,TERAPIA FISICA EN ORTOPEDIA
DOC,DOCENCIA
TFQ,TERAPIA FISICA EN QUEMADOS
TFA,TERAPIA FISICA EN AMPUTADOS
CAD,CALCULO DIFERENCIAL
FUF,FUNDAMENTOS DE FISICA
IIB,INTRODUCCION  A LA INGENIERIA BIOMEDICA
ESTEF,ESTADIA TERAPIA FISICA
INB,INSTRUMENTACION BIOMEDICA
CAI,CALCULO INTEGRAL
MEL,MEDICIONES ELECTRICAS
FUE,FUNDAMENTOS DE ELECTRONICA
BIC,BIOQUIMICA CLINICA
AED,APLICACION DE ECUACIONES DIFERENCIALES
PRET,PROGRAMACION ESTRUCTURADA
ELA,ELECTRONICA ANALOGICA
BADA,BASE DE DATOS
POOS,PROGRAMACION ORIENTADA A OBJETOS
ELD,ELECTRONICA DIGITAL
SAB,SENSORES Y ACTUADORES BIOMEDICOS
FISI,FISIOLOGIA
EII,ENTORNO DE INSTRUMENTACION PARA LA INVESTIGACION
MAE,MAQUINAS ELECTRICAS
ELP,ELECTRONICA DE POTENCIA
SEE,SUMINISTRO DE ENERGIA ELECTRICA
SGS,SISTEMAS  DE GESTION EN SALUD
MEM,MANTENIMIENTO DE EQUIPOS MEDICOS
MICR,MICROPROCESADORES
FIM,FISICA MEDICA
SET,SERIES Y TRANSFORMADAS
PIC,PROTOCOLOS E INTERFACES DE COMUNICACION
SIS,SISTEMAS DE CONTROL
MTI,METODOS Y TECNICAS DE INVESTIGACION
BII,BIOINSTRUMENTACION
DSB,DESARROLLO DE SISTEMAS BIOMEDICOS
APT,BIOMECANICA
SEN,SEGURIDAD Y NORMAS
PSB,PROCESAMIENTO DE SEŠALES BIOMEDICAS
DIP,DISPOSITIVOS PROGRAMABLES
IMA,IMAGINOLOGIA
ISB,INTEGRACION DE SISTEMAS BIOMEDICOS
SES,SERVICIO SOCIAL
CAIN,CALCULO INTEGRAL
MENB,METODOS NUMERICOS
EBIMI,ESTANCIA BIOMEDICA I
ESTTF,ESTADIAS TERAPIA FISICA
ESTF,ESTADIA  DE TERAPIA FISICA
TERAESTA,TERAPIA FISICA ESTADIA
ING1,INGL?S I
EOE1,EXPRESIĖN ORAL Y ESCRITA
QBI,QUIMICA BASICA SOFTWARE
